pollen_concentration,timestamp
1.0 2026-03-01 10:48:57.352552
1.0 2026-03-02 11:06:36.640412
0.5 2026-03-03 11:04:07.820740
1.9,2026-03-10 11:05:52
2.1,2026-03-11 12:12:22
