pollen_concentration,timestamp
1.1 2025-12-01 10:47:09.462402
2.4 2025-12-02 10:45:42.026916
2.4 2025-12-03 10:48:03.506078
1.5 2025-12-04 10:47:07.765643
1.0 2025-12-05 10:44:12.201460
1.5 2025-12-06 10:40:31.781114
1.8 2025-12-07 10:39:10.765121
1.8 2025-12-08 10:46:46.483037
1.8 2025-12-09 10:47:12.389774
1.8 2025-12-10 10:48:50.435895
1.8 2025-12-11 10:47:20.643658
1.8 2025-12-12 10:46:01.794123
1.8 2025-12-13 10:41:22.276233
1.8 2025-12-14 10:41:44.060771
1.6 2025-12-15 10:50:22.481600
0.6 2025-12-16 10:47:46.513164
0.4 2025-12-17 10:47:32.021544
0.3 2025-12-18 10:46:26.035158
0.9 2025-12-19 10:45:20.466100
0.6 2025-12-20 10:41:20.371641
0.5 2025-12-21 10:42:08.946754
0.6 2025-12-22 10:45:19.534083
0.3 2025-12-23 10:46:48.923640
0.3 2025-12-24 10:44:23.821574
0.1 2025-12-25 10:44:28.996583
0.3 2025-12-26 10:44:14.499730
0.4 2025-12-27 10:42:12.574418
0.4 2025-12-28 10:42:53.384786
0.1 2025-12-29 10:46:37.384761
0.5 2025-12-30 10:46:06.042280
0.3 2025-12-31 10:44:21.084745
